ILO,Question,Option_A,Group_A,Option_B,Group_B,Option_C,Group_C,Option_D,Group_D,Option_E,Group_E
"CR","When faced with a challenge, what motivates you the most?","The thought of creating a positive impact on others","Civic","To defend what you believe in","Legion","Explore new ideas and freedoms","Liberty","The potential to achieve something greater than what currently exists","North","The courage to face your fears and explore new perspectives","Tower"
"CR","What motivates you to take any action?","A desire to be responsible and serve others","Civic","A strong belief in a cause","Legion","A longing for individual autonomy and selection","Liberty","A hope for a better future","North","I am willing to build my bravery","Tower"
"CR","What is your preferred way to contribute to society?","Volunteering for social causes","Civic","Participating in a team sport","Legion","Attending a political rally","Liberty","Exploring the outdoors","North","Attending an art exhibition","Tower"
"CR","What kind of challenge are you most drawn to?","Solving a complex problem","Civic","Conquering an opponent","Legion","Defending individual rights","Liberty","Engaging in exterior activities","North","Personas overcoming problems","Tower"
"CR","Which of these quotes resonates with you the most?","Be the change you wish to see in the world","Civic","Victory at all costs, victory in spite of all terror, victory however long and hard the road may be; for without victory, there is no survival","Legion","Freedom is not the absence of commitment, but the ability to choose - and commit myself to - what is best for me","Liberty","The future belongs to those who believe in the beauty of their dreams","North","Courage is not the absence of fear, but the triumph over it","Tower"
"CR","What do you consider to be the most important aspect of your personal well-being?","Eating healthily and taking care of your physical health","Civic","Balancing self-care with responsibilities","Legion","Building self-worth and finding purpose in life","Liberty","Effective stress management and resilience","North","Seeking help and guidance from others when necessary","Tower"
"CR","What type of environment do you thrive in?","Collaborative and supportive","Civic","Structured and disciplined","Legion","Independent and free-thinking","Liberty","Adventurous and unpredictable","North","Seeking help and guidance from others when necessary","Tower"
"CR","What is your preferred way of spending your free time?","Participating in community service","Civic","Engaging in competitive activities","Legion","Pursuing hobbies or interests independently","Liberty","Exploring nature or outdoor activities","North","Attending cultural or artistic events","Tower"
"CR","What is your preferred way of spending your free time?","Organizing or participating in community service projects","Civic","Advocating for and defending the values you believe in","Legion","Promoting individual rights and freedoms for all","Liberty","Pursuing initiatives that drive progress and positive change","North","Encouraging others to step out of their comfort zones and grow","Tower"
"CR","What type of leader do you aspire to be?","One who leads by example and serves others","Civic","One who stands up for their beliefs, even in the face of adversity","Legion","One who empowers individuals to make their own choices","Liberty","One who inspires progress and innovation","North","One who pushes others to conquer their fears and embrace change","Tower"
"CR","Which value is most important to you when working with others?","Cooperation and mutual support","Civic","Loyalty and dedication to a shared cause","Legion","Autonomy and respect for individual choices","Liberty","Forward-thinking and openness to change","North","Courage and the willingness to take on challenges together","Tower"
"CR","What is your primary source of motivation when facing difficulties?","The desire to create a positive impact on others","Civic","The determination to uphold your beliefs","Legion","The belief in personal freedom and choice","Liberty","The drive to achieve something greater","North","The courage to confront and overcome fears","Tower"
"CR","Which of these activities is most appealing to you?","Participating in a community clean-up event","Civic","Joining a debate club to strengthen your argument skills","Legion","Attending a workshop on personal development and growth","Liberty","Volunteering for a cause that promotes innovation and progress","North","Taking part in a public speaking competition to overcome stage fright","Tower"
"IR","When you encounter a problem, what is your typical approach to finding a solution?","Breaking it down into smaller parts and analyzing each one","Vista","Asking for advice or help from others","Plaza","Trying out different solutions until one works","Ocean","Researching and gathering as much information as possible","Lands","Trusting your intuition and making a quick decision","Reserve"
"IR","When faced with a difficult decision, which factor is most important to you?","The impact it will have on others","Vista","The potential risk or reward","Plaza","The alignment with your values and beliefs","Ocean","The long-term consequences","Lands","Solving an issue in the short-term first","Reserve"
"IR","Which of these quotes resonates with you the most?","The only true wisdom is in knowing you know nothing","Vista","The greatest glory in living lies not in never falling, but in rising every time we fall","Plaza","Life is like riding a bicycle. To keep your balance, you must keep moving","Ocean","You miss 100% of the shots you don't take","Lands","It does not matter how slowly you go as long as you do not stop","Reserve"
"IR","If you had to choose one food to eat for the rest of your life, which would you pick?","Pizza","Vista","Sushi","Plaza","Tacos","Ocean","Salad","Lands","Stir-fry","Reserve"
"IR","Which of these movies resonates with you the most?","The Shawshank Redemption","Vista","The Godfather","Plaza","Into the Wild","Ocean","The Theory of Everything","Lands","Forrest Gump","Reserve"
"IR","What is your preferred way of communicating with others?","Through written communication like email or letters","Vista","In-person conversations and meetings","Plaza","Using social media platforms to connect with others","Ocean","Video chats or phone calls","Lands","Non-verbal communication","Reserve"
